conversation_id,turn_number,customer_type,complexity,frustration_score,frustration_level,frustration_confidence,frustration_intervention_needed,escalation_trend,contributing_factors,current_query_score,pattern_score,customer_query
7,2,urgent,complex,1.0499999999999998,low,0.5,False,none,,1.5,0.0,"""Thank you for your prompt response. Can you please provide more details on the specific temporary housing expenses that my policy may cover? For example, are there any limits on the amount of coverage or duration of coverage? Additionally, I have already initiated contact with a local disaster relief organization for temporary housing, but I'm not sure if they will be able to provide me with adequate accommodations. Can you please clarify whether my policy will cover the costs associated with alternative housing arrangements?"""
7,3,urgent,complex,0.7,low,0.5,False,none,,1.0,0.0,"""Thank you for your helpful response. Can you provide more specific information on the limits and duration of coverage for temporary housing expenses? Additionally, how do I go about filing a claim for these expenses and what documentation do I need to provide?"""
8,1,urgent,simple,2.275,low,0.6,False,none,,3.25,0.0,Can I get proof of insurance sent to my phone? I got pulled over and need it ASAP.
8,2,urgent,simple,1.2249999999999999,low,0.6,False,none,,1.75,0.0,"""Oh no, thank you so much for helping me out! I'm with XYZ Insurance and my policy number is 12345. Can you please send it to my iPhone 12 Pro? It's an iOS device if that makes a difference. I really need it ASAP, my apologies for any delay."""
8,3,urgent,simple,1.75,low,0.5,False,none,,2.5,0.0,"""Oh, great! Thank you for confirming. Can I just get the proof of insurance sent to my email right away? I'm really running short on time here and every minute counts. Please let me know if there's anything else I need to do on my end to make this happen?"""
9,1,normal,simple,0.35,low,0.5,False,none,,0.5,0.0,How do I update my billing information?
10,1,confused,medium,1.4,low,0.5,False,none,,2.0,0.0,What exactly is an 'act of God' and why isn't my damage covered under it?
11,1,frustrated,medium,3.675,moderate,0.6,False,none,,5.25,0.0,I've been on hold for 45 minutes and keep getting disconnected. Fix this or I'm switching companies!
11,2,frustrated,medium,3.5,moderate,0.6,False,none,strong_negative_sentiment,5.0,0.0,"""ARE YOU KIDDING ME?! 45 MINUTES?! THAT'S UNACCEPTABLE! I DON'T HAVE TIME TO BE ON HOLD FOR HOURS JUST TO GET DISCONNECTED. FIX THIS NOW OR I'M SWITCHING TO ANOTHER COMPANY WHERE I CAN GET REAL HELP AND NOT WASTE MY TIME!"""
12,1,confused,complex,0.7,low,0.5,False,none,,1.0,0.0,My neighbor's tree fell on my garage during the storm. Which insurance handles this - mine or theirs?
12,2,confused,complex,1.4,low,0.5,False,none,,2.0,0.0,"Oh, I see! Thank you for explaining that. But wait, so my neighbor's homeowners insurance will cover the damage to my garage caused by their tree? That doesn't seem right... doesn't my insurance policy cover any damages to my property, regardless of who caused them? Can you explain a bit more about how this works? How do I know if my insurance policy covers this type of situation?"
12,3,confused,complex,1.0499999999999998,low,0.5,False,none,,1.5,0.0,"Oh, I see! Thank you for explaining that. But, how do we determine who's insurance covers the damage? Is it based on whose property the tree is located near? Or is it based on whose name is on the policy? And what about if the tree is actually on my neighbor's property but fell onto my garage? That seems like a tricky situation... Can you please clarify?"
12,4,confused,complex,0.7,low,0.5,False,none,,1.0,0.0,"""I see, so it sounds like the tree is located partially on my neighbor's property and partially on mine, which means it could be considered a shared responsibility. Can you explain what exactly does 'shared responsibility' mean in this context? Will both insurance policies cover the damage, or will one policy take precedence over the other?"""
13,1,normal,medium,0.7,low,0.5,False,none,,1.0,0.0,Can I schedule a review of my current coverage? I think I might be paying for things I don't need.
13,2,normal,medium,2.275,low,0.7,False,none,strong_negative_sentiment,3.25,0.0,"Great, thank you for your help! For the type of insurance, I'm looking at my auto and homeowners policies. Specifically, I'm concerned that I might be overpaying for coverage on my older car, as it's no longer worth as much as when I first purchased the policy. And for my home, I'm not sure if I have the right level of coverage for my property value and personal belongings. Can you help me evaluate these policies and see if there are any adjustments that can be made to save money while still ensuring adequate protection?"
14,1,urgent,complex,2.0999999999999996,low,0.5,False,none,,3.0,0.0,Someone broke into my car last night. I need to file a claim and get a rental car - how do I do this?
14,2,urgent,complex,0.35,low,0.5,False,none,,0.5,0.0,"""Thank you for your help! I appreciate it. Can you please provide me with the insurance claim form and instructions on how to fill it out? And do you have a list of recommended repair shops in my area where I can take my car to get it fixed?"""
14,3,urgent,complex,0.35,low,0.5,False,none,,0.5,0.0,"Excellent, that answers my question. Much appreciated."
15,1,frustrated,medium,1.75,low,0.5,False,none,,2.5,0.0,Why am I paying more than my friend for the same coverage? We have identical cars!
15,2,frustrated,medium,4.375,moderate,0.7,False,none,high_frustration_language; strong_negative_sentiment,6.25,0.0,"""Are you kidding me?! I can't believe I'm paying more than my friend for the same coverage when our cars are identical! It's not fair and it makes no sense. Can't you just check your own policy and see why I'm being charged more? This is ridiculous and I demand a better explanation!"""
16,1,normal,simple,0.35,low,0.5,False,none,,0.5,0.0,What documents do I need to submit for my water damage claim?
17,1,confused,complex,1.0499999999999998,low,0.5,False,none,,1.5,0.0,I don't understand all these terms in my policy renewal - can you explain them in simple English?
18,1,urgent,medium,1.0499999999999998,low,0.5,False,none,,1.5,0.0,My windshield cracked on the highway. Is this covered and how quickly can it be fixed?
18,2,urgent,medium,0.7,low,0.5,False,none,,1.0,0.0,"""Thank you for confirming that my windshield damage is covered. Can you please provide me with a list of nearby repair shops and their contact information? I need to get this fixed as soon as possible, so I can get back on the road."""
18,3,urgent,medium,2.0999999999999996,low,0.7,False,none,,3.0,0.0,"""Thank you so much for providing me with the list of repair shops! I need to get this fixed asap, can you please tell me how quickly they can accommodate an appointment? And do they offer any discounts or promotions currently? I'm on a tight deadline here."""
19,1,frustrated,complex,4.375,moderate,0.7,False,none,high_frustration_language; strong_negative_sentiment,6.25,0.0,I've been trying to file a claim online for hours but keep getting errors. This is unacceptable!
19,2,frustrated,complex,5.425,moderate,0.8,False,none,high_frustration_language; strong_negative_sentiment,7.75,0.0,"""UNACCEPTABLE?! You want me to provide more details?! I've been trying to file this claim for hours and it keeps giving me errors. I don't have time for your simple solutions, I need a real solution now! How about you just fix the problem already?!"""
20,1,normal,simple,0.35,low,0.5,False,none,,0.5,0.0,When does my policy expire and how do I renew it?
